,Company name,Website,Sector,Region,Revenue Band
504,KEE SAFETY GROUP LIMITED,https://keesafetygroup.com/,Security,West Midlands,£50M - £75M
505,KEELEX 386 LIMITED,https://www.quality-films.co.uk,Manufacturing,West Midlands,£6M - £10M
506,KETTLE INTERIORS UK LIMITED,https://www.kettleinteriorsagencies.com,Architecture & Engineering,South East England,£10M - £20M
507,KEYSTONE LAW GROUP LIMITED,https://www.keystonelaw.co.uk,Legal & Accounting,London,£20M - £30M
508,KEYWORDS STUDIOS PLC,https://www.keywordsstudios.com/,Media,London,£75M - £100M
509,KILTEARN LIMITED,http://www.kiltearnpartners.com,Financial services,Scotland,£20M - £30M
510,KINAXIA LIMITED,https://www.kinaxia.co.uk/,Transportation services,North West England,£50M - £75M
511,KINDERTONS TOPCO LIMITED,https://www.kindertons.co.uk/,Financial services,North West England,£75M - £100M
512,KINGDOM SERVICES GROUP LIMITED,http://www.kingdom.co.uk,Professional services,North West England,£75M - £100M
513,KITEWOOD ESTATES LIMITED,http://www.kitewood.co.uk/,Engineering & Construction,London,£40M - £50M
514,KNIGHT HARWOOD LIMITED,http://www.knight-harwood.com,Professional services,London,£100M - £150M
515,KOBALT MUSIC GROUP LIMITED,https://www.kobaltmusic.com,Leisure,London,£200M - £250M
516,KURT ORBAN PARTNERS LIMITED,https://kopuk.co.uk,Metal Manufacturing & Engineering,South East England,£20M - £30M
517,L.J. FAIRBURN AND SON LIMITED,https://ljfairburnpoultry.co.uk,Farming & Fishery,East Midlands,£50M - £75M
518,LA FOSSE ASSOCIATES LIMITED,https://www.lafosse.com,Employment services,London,£50M - £75M
519,LAILA'S FINE FOODS LIMITED,http://lailasfinefoods.co.uk/,Food & Beverage,North West England,£30M - £40M
520,LAMBSON LIMITED,http://www.lambson.com/ ,Pharmaceuticals & Biotechnology,Yorkshire and the Humber,£20M - £30M
521,LAMONT FIREPLACES LTD,http://www.lamontfireplaces.com,Manufacturing,Northern Ireland,£6M - £10M
522,LANE 4 MANAGEMENT GROUP HOLDINGS LIMITED,http://www.lane4performance.com,Employment services,South East England,£10M - £20M
523,LAPTOP OUTLET LIMITED,https://www.laptopoutlet.co.uk,Retail,London,£10M - £20M
524,LAWRENCE DAVID LIMITED,http://lawrencedavid.co.uk,Automotive,East of England,£75M - £100M
525,LCI HELICOPTERS (UK) LIMITED,https://www.lciaviation.com,Rental & Leasing,London,£20M - £30M
526,LEAD FORENSICS LIMITED,https://www.leadforensics.com,Information Technology,South East England,£20M - £30M
527,LEARNING TECHNOLOGIES GROUP PLC,https://www.ltgplc.com,Information Technology,London,£20M - £30M
528,LEE MARLEY BRICKWORK LIMITED,http://www.leemarley.com,Engineering & Construction,South East England,£40M - £50M
529,LEEC HOLDINGS LIMITED,http://www.leec.co.uk,Manufacturing,East Midlands,£6M - £10M
530,LEISURE FURNISHINGS LIMITED,http://www.leisure-furnishings.co.uk,Manufacturing,East Midlands,£10M - £20M
531,LENDINVEST LIMITED,https://www.lendinvest.com,Financial services,London,£10M - £20M
532,LEON RESTAURANTS LIMITED,http://leonrestaurants.co.uk,Food & Beverage,London,£40M - £50M
533,LEVITT BERNSTEIN ASSOCIATES LIMITED,http://www.levittbernstein.co.uk/ ,Architecture & Engineering,London,£10M - £20M
534,LEXON (UK) LIMITED,http://www.lexonuk.com,Professional services,West Midlands,£200M - £250M
535,LIGNACITE LIMITED,http://www.lignacite.co.uk,Engineering & Construction,East of England,£20M - £30M
536,LINCS INSPIRE LIMITED,http://www.lincsinspire.com,Education,Yorkshire and the Humber,£6M - £10M
537,LINCS. ELECTRICAL WHOLESALERS LIMITED,https://www.lewelectrical.co.uk/,Retail,East Midlands,£20M - £30M
538,LINDEMANN HEALTHCARE LIMITED,http://lindemann.healthcare,Healthcare,Scotland,£6M - £10M
539,LINDSELL TRAIN LIMITED,http://www.lindselltrain.com,Financial services,London,£30M - £40M
540,LINEAR INVESTMENT PARTNERS LIMITED,http://linearinvestment.com,Financial services,London,£10M - £20M
541,LINTZ HALL FARM LIMITED,https://lintzhallfarm.co.uk/ ,Farming & Fishery,North East England,£6M - £10M
542,LIONCOURT HOMES LIMITED,https://www.lioncourthomes.com,Engineering & Construction,West Midlands,£40M - £50M
543,LODGE PARK HOLDINGS LIMITED,http://www.lodgeparkhomes.co.uk/,Engineering & Construction,East Midlands,£10M - £20M
544,LONDON & COUNTRY MORTGAGES LIMITED,https://www.landc.co.uk,Financial services,South West England,£40M - £50M
545,LONDON HOIST LIMITED,http://www.londonhoist.co.uk,Engineering & Construction,East of England,£10M - £20M
546,LONGULF LIMITED,http://www.longulf.com,Manufacturing,London,£50M - £75M
547,LOTHIAN ELECTRIC MACHINES NO.2 LIMITED,http://www.lemac.com,Automotive,Scotland,£40M - £50M
548,LOVANIA NURSERIES LIMITED,https://www.lovania.co.uk/ ,Farming & Fishery,North West England,£10M - £20M
549,LOW CARBON CONTRACTS COMPANY LTD,https://lowcarboncontracts.uk,Energy & Utility,London,£10M - £20M
550,LSDM LIMITED,https://leylandsdm.co.uk,Retail,London,£40M - £50M
551,LSE RETAIL GROUP LIMITED,http://www.lseretailgroup.co.uk,Retail,North West England,£10M - £20M
552,LTS INTERNATIONAL LIMITED,http://www.ltsi.co.uk,Professional services,Scotland,£6M - £10M
553,LUCAS UK GROUP LIMITED,https://www.lucasuk.com,Professional services,South East England,£20M - £30M
554,LUNDY PROJECTS LIMITED,http://lundy-projects.co.uk,Engineering & Construction,North West England,£30M - £40M
555,LUXOFT UK LIMITED,https://www.luxoft.com,Professional services,London,£10M - £20M
556,LYNN'S COUNTRY FOODS LIMITED,http://finnebrogue.com ,Food & Beverage,Northern Ireland,£40M - £50M
557,LYNTON EXPORTS (ALSAGER) LIMITED,http://www.lynton-exports.co.uk/,Transportation services,North West England,£30M - £40M
558,LYST LTD,https://www.lyst.com/,Retail,London,£10M - £20M
559,M P BROS HOLDINGS LIMITED,http://www.mpbrothers.com,Engineering & Construction,London,£20M - £30M
560,M R STEPHENSON LIMITED,https://www.stephenson-ssc.co.uk,Engineering & Construction,South East England,£30M - £40M
561,M.MARKOVITZ LIMITED,https://www.markovitz.co.uk,Building & Landscape services,East Midlands,£30M - £40M
562,M.P.B. STRUCTURES LTD,https://www.mpb.co.uk/,Engineering & Construction,East Midlands,£75M - £100M
563,M7 REAL ESTATE LTD,http://www.m7re.eu,Real Estate,London,£10M - £20M
564,MAC SURFACING LIMITED,http://www.macsurfacing.com,Engineering & Construction,West Midlands,£10M - £20M
565,MACC CARE LIMITED,http://www.macccare.com,Healthcare,West Midlands,£6M - £10M
566,MAC-INTERIORS LIMITED,http://www.mac-group.com,Engineering & Construction,Northern Ireland,£50M - £75M
567,MADIGAN GILL GROUP HOLDINGS LIMITED,http://www.madigangill.co.uk,Engineering & Construction,London,£50M - £75M
568,MAGGIE'S TRADING LIMITED,https://www.maggiescentres.org/,Healthcare,Scotland,£6M - £10M
569,MAJESTIC BINGO LIMITED,https://www.majesticbingo.com/,Leisure,East Midlands,£10M - £20M
570,MALOSA LIMITED,https://www.malosa.com,Pharmaceuticals & Biotechnology,South East England,£10M - £20M
571,MARCO POLO INTERCONTINENTAL LIMITED,http://www.marcopolointercontinental.com,Wholesale,South East England,£6M - £10M
572,MARK THOMPSON TRANSPORT LTD,https://markthompsontransport.co.uk/,Transportation services,North West England,£10M - £20M
573,MARLBOROUGH SURFACING (2013) LIMITED,http://www.marlboroughhighways.co.uk,Engineering & Construction,London,£30M - £40M
574,MARLIN GREEN LIMITED,http://www.marlingreen.com,Employment services,London,£6M - £10M
575,MARREN MICROWAVE LIMITED,https://marren.co.uk/,Retail,East Midlands,£6M - £10M
576,MATCHESFASHION LIMITED,https://www.matchesfashion.com,Retail,London,£200M - £250M
577,MATRIX NETWORKS (HOLDINGS) LIMITED,http://matrixnetworks.co.uk,Energy & Utility,East of England,£10M - £20M
578,MATTHEW KIBBLE TRANSPORT HOLDINGS LIMITED,http://www.matthewkibble.com/,Transportation services,North West England,£10M - £20M
579,MAYDAY ASSISTANCE LIMITED,https://www.maydayassistance.com,Healthcare,South East England,£6M - £10M
580,MCCARTHY GROUP LIMITED,http://mccarthygroup.co.uk/,Engineering & Construction,West Midlands,£6M - £10M
581,MCCGLC LIMITED,http://www.mccglc.com,Advertising & Marketing,London,£10M - £20M
582,MCGINLEY CEP LTD,https://www.mcginleycep.co.uk,Employment services,East of England,£100M - £150M
583,MCMULLAN & O'DONNELL LIMITED,http://www.mcmullanodonnell.com,Manufacturing,Northern Ireland,£10M - £20M
584,MCS GROUP LIMITED,https://www.mcs-ltd.com,Engineering & Construction,West Midlands,£75M - £100M
585,MEDIA INGENUITY GROUP (HOLDINGS) LIMITED,http://www.totallymoney.com,Information Technology,London,£20M - £30M
586,MEDIGOLD HEALTH CONSULTANCY LIMITED,http://www.medigold-health.com,Healthcare,East Midlands,£10M - £20M
587,MEDSTROM LTD,www.medstrom.com/ ,Healthcare,East Midlands,£10M - £20M
588,MEDTRADE PRODUCTS LIMITED,http://www.medtrade.co.uk/ ,Pharmaceuticals & Biotechnology,North West England,£10M - £20M
589,MERCIA TECHNOLOGIES PLC,https://www.merciatech.co.uk/,Financial Services,West Midlands,£6M - £10M
590,MEREWAY KITCHENS LIMITED,http://merewaykitchens.co.uk/,Architecture & Engineering,West Midlands,£20M - £30M
591,MERITGROUP LIMITED,http://www.meritgroup.co.uk,Information Technology,London,£6M - £10M
592,MERLIN CINEMAS LIMITED,http://www.merlincinemas.co.uk,Leisure,South West England,£6M - £10M
593,METALLISATION HOLDINGS LIMITED,https://metallisation.com,Pharmaceuticals & Biotechnology,West Midlands,£10M - £20M
594,METCALFE FARMS (HAULAGE) LIMITED,http://www.metcalfefarms.com/,Farming & Fishery,Yorkshire and the Humber,£10M - £20M
595,METER PROVIDA HOLDCO LIMITED,https://www.meterprovida.com,Transportation services,East Midlands,£30M - £40M
596,METPRO LIMITED,http://www.metpro.co.uk/,Electronic Engineering,West Midlands,£10M - £20M
597,METROPOLITAN ELECTRICAL SERVICES LIMITED,http://mservices.co.uk,Professional services,London,£10M - £20M
598,MICK GEORGE LIMITED,https://www.mickgeorge.co.uk,Engineering & Construction,East of England,£75M - £100M
599,MIDATECH PHARMA PLC,http://www.midatechpharma.com,Pharmaceuticals & Biotechnology,South East England,£6M - £10M
600,MIDSHIRE BUSINESS SYSTEMS (NORTHERN) LIMITED,https://www.midshire.co.uk,Electronic Engineering,West Midlands,£6M - £10M
601,MIDSHIRES CARE HOLDINGS LIMITED,https://www.helpinghandshomecare.co.uk,Healthcare,West Midlands,£50M - £75M
602,MIERS CONSTRUCTION PRODUCTS LIMITED,https://www.miersconstructionproducts.co.uk,Engineering & Construction,East of England,£10M - £20M
603,MILLER FABRICATIONS LIMITED,https://www.millerfabrications.com/,Metal Manufacturing & Engineering,Scotland,£10M - £20M
604,MIND GYM LIMITED,https://uk.themindgym.com/  ,Professional services,London,£30M - £40M
605,MIRAGE INKS LIMITED,http://www.mirageinks.com,Printing,South West England,£10M - £20M
606,MITIE CARE AND CUSTODY PLC,https://www.mitie.com,Professional services,South West England,£30M - £40M
607,MIVAN MARINE LIMITED,http://mivan.com,Engineering & Construction,Northern Ireland,£10M - £20M
608,MJL CORNWALL LIMITED,http://www.mjl-ltd.com,Building & Landscape services,South West England,£40M - £50M
609,MLECZKO DELIKATESY LIMITED,https://www.mleczkodelikatesy.com,Food & Beverage,London,£20M - £30M
610,MODEBEST GROUP HOLDINGS LIMITED,http://www.modebest.co.uk,Engineering & Construction,London,£100M - £150M
611,MONICA VINADER LIMITED,https://www.monicavinader.com,Retail,East of England,£20M - £30M
612,MONMOUTHSHIRE XPRESS GROUP LIMITED,http://www.themonexgroup.com/,Transportation services,Wales,£20M - £30M
613,MOORHOUSE HOLDINGS LIMITED,https://www.moorhouseconsulting.com,Professional services,London,£20M - £30M
614,MORAN LOGISTICS LIMITED,https://www.moranlogistics.co.uk/,Transportation services,East Midlands,£40M - £50M
615,MORRISROE GROUP LIMITED,http://www.morrisroe.co.uk/,Engineering & Construction,East of England,£150M - £200M
616,MORTGAGE ADVICE BUREAU (HOLDINGS) PLC,https://www.mortgageadvicebureau.com,Financial services,East Midlands,£75M - £100M
617,MOSS ELECTRICAL HOLDINGS LIMITED,http://www.mosselectrical.co.uk,Transportation services,South East England,£50M - £75M
618,MOTION FINANCE LIMITED,http://www.motionfinance.co.uk,Financial services,West Midlands,£6M - £10M
619,MSI GROUP LIMITED,http://www.msigroupltd.com,Employment services,London,£50M - £75M
620,MSP CAPITAL LTD,http://mspcapital.co.uk,Financial services,South West England,£10M - £20M
621,MTREC LIMITED,http://www.mtrec.co.uk/,Employment services,North East England,£40M - £50M
622,MWAM NA LTD,https://www.mwam.com,Financial services,London,£40M - £50M
623,MWR INFOSECURITY LIMITED,https://www.mwrinfosecurity.com,Information Technology,South East England,£10M - £20M
624,N.M.T. PLANT HIRE LIMITED,http://www.nmtcranes.co.uk,Engineering & Construction,East of England,£6M - £10M
625,N2O LIMITED,https://www.n2o.co.uk,Advertising & Marketing,South East England,£20M - £30M
626,NABCO GROUP LIMITED,https://www.nabcouk.com,Manufacturing,East of England,£6M - £10M
627,NASSTAR PLC,http://www.nasstar.com/,Information Technology,West Midlands,£10M - £20M
628,NATIONWIDE CLEANING & SUPPORT SERVICES LTD,http://nationwidecleaning-fm.co.uk,Professional services,London,£6M - £10M
629,NATIONWIDE CONCRETING LIMITED,http://www.nationwideconcreting.co.uk,Engineering & Construction,South East England,£10M - £20M
630,NATOORA LTD,http://www.natoora.co.uk,Food & Beverage,London,£10M - £20M
631,NATURAL PAVING PRODUCTS (UK) LTD,http://www.naturalpaving.co.uk,Building & Landscape services,Yorkshire and the Humber,£20M - £30M
632,NAVARTIS HOLDINGS LIMITED,https://www.navartis.co.uk,Employment services,Yorkshire and the Humber,£30M - £40M
633,NCC GROUP PLC,https://www.nccgroup.trust/uk,Information Technology,North West England,£200M - £250M
634,NCMT HOLDINGS LIMITED,http://www.ncmt.co.uk/,Metal Manufacturing & Engineering,South East England,£40M - £50M
635,NECTERE LIMITED,http://www.nectere.org,Professional services,West Midlands,£20M - £30M
636,NEUVEN SOLUTIONS HOLDINGS LIMITED,http://www.neuven.co.uk,Professional services,North West England,£75M - £100M
637,NEVILLE UK TRADING HOLDINGS LIMITED,http://www.nevilleuk.com,Retail,London,£10M - £20M
638,NEW WORLD DEVELOPMENTS LIMITED,http://www.apeer.co.uk,Manufacturing,Northern Ireland,£10M - £20M
639,NEWINCCO 1270 LIMITED,http://www.enragroup.co.uk,Financial services,East of England,£30M - £40M
640,NEWRIVER REIT (UK) LIMITED,http://www.nrr.co.uk,Real Estate,London,£10M - £20M
641,NEXT GENERATION DATA LTD,https://www.nextgenerationdata.co.uk,Information Technology,South East England,£10M - £20M
642,NEXUS UNDERWRITING MANAGEMENT LIMITED,http://www.nexusunderwriting.com,Financial services,London,£10M - £20M
643,NG INVESTMENTS LIMITED,http://www.kilnbridge.com,Engineering & Construction,London,£50M - £75M
644,NICOL OF SKENE LIMITED,http://www.nicolofskene.co.uk,Building & Landscape services,Scotland,£20M - £30M
645,NOEL KEGG LIMITED,https://www.toolstop.co.uk ,Retail,Scotland,£40M - £50M
646,NORTHWOOD HYGIENE PRODUCTS LIMITED,http://disposablesukgroup.co.uk/,Manufacturing,West Midlands,£50M - £75M
647,NOT JUST CLEANING LIMITED,https://www.njcdna.com,Professional services,South East England,£20M - £30M
648,NOUVITA LIMITED,http://www.nouvita.co.uk,Healthcare,East of England,£6M - £10M
649,NOVA CONTRACTING LTD,https://www.novacontracting.co.uk,Professional services,Yorkshire and the Humber,£50M - £75M
650,NSC GROUP PLC,https://www.nscglobal.com,Information Technology,London,£150M - £200M
651,NUMERIC FUTURES HOLDINGS LIMITED,http://www.numericfutures.co.uk,Information Technology,West Midlands,£20M - £30M
652,NURTURE LANDSCAPES HOLDINGS LIMITED,http://www.nurturelandscapes.co.uk,Building & Landscape services,South East England,£20M - £30M
653,O.C.L. FACADES LIMITED,http://oclfacades.com,Engineering & Construction,East of England,£40M - £50M
654,OAKFORD HOMES LIMITED,http://www.oakfordhomes.co.uk,Engineering & Construction,South East England,£20M - £30M
655,OAKLANDS CONSTRUCTION LIMITED,https://www.oaklandsgroup.net,Engineering & Construction,Yorkshire and the Humber,£6M - £10M
656,OAKLEAF PARTNERSHIP LIMITED,https://www.oakleafpartnership.com,Employment services,South West England,£10M - £20M
657,OAKMONT CONSTRUCTION LIMITED,http://www.oakmontconstruction.co.uk,Engineering & Construction,East of England,£10M - £20M
658,OAKWOOD DOOR DESIGNS LIMITED,https://www.uform.co.uk,Wholesale,Northern Ireland,£10M - £20M
659,OCEAN HOLIDAYS LIMITED,http://www.ocean-holidays.co.uk,Leisure,London,£40M - £50M
660,OFFICE PRINCIPLES LIMITED,http://officeprinciples.com,Architecture & Engineering,South East England,£10M - £20M
661,OHOB HOLDINGS LIMITED,http://www.ohob.com,Engineering & Construction,London,£200M - £250M
662,OLIVER BONAS LIMITED,https://www.oliverbonas.com/ ,Retail,London,£50M - £75M
663,OMAR GROUP LIMITED,https://www.omar.co.uk,Engineering & Construction,East of England,£30M - £40M
664,OMEGA HOUSING LIMITED,http://www.omegahousing.co.uk/,Professional services,South West England,£10M - £20M
665,ONBOARD CORRUGATED LIMITED,http://www.onboardcorrugated.com/,Architecture & Engineering,West Midlands,£20M - £30M
666,ONE CALL RECRUITMENT LIMITED,http://www.onecallrecruitment.co.uk,Employment services,East of England,£20M - £30M
667,ONE GROUP CONSTRUCTION LIMITED,http://www.onegroupconstruction.com/,Engineering & Construction,East of England,£100M - £150M
668,ONE STOP HIRE LIMITED,https://www.onestophire.com,Engineering & Construction,North West England,£6M - £10M
669,OPM (LABELS & PACKAGING) GROUP LIMITED,http://opmgroup.co.uk,Manufacturing,Yorkshire and the Humber,£10M - £20M
670,OPTAL LIMITED,http://optal.com/,Information Technology,London,£100M - £150M
671,OPTIONIS HOLDCO LIMITED,http://www.optionis.co.uk,Professional services,East of England,£20M - £30M
672,OPUS 2 MAGNUM HOLDINGS LIMITED,https://www.opus2.com,Professional services,South East England,£10M - £20M
673,ORBITAL EDUCATION LIMITED,https://orbitaled.com/,Education,North West England,£20M - £30M
674,ORBITAL EQUIPMENT LIMITED,http://orbitalequipment.co.uk,Building & Landscape services,East of England,£10M - £20M
675,ORCHARD STREET UK PRIME PROPERTY GP LIMITED,http://www.orchard-street.co.uk,Real Estate,London,£10M - £20M
676,ORCHARD VALLEY FOODS LIMITED,http://www.orchard-valley.co.uk/,Food & Beverage,West Midlands,£20M - £30M
677,ORIGIN FRAMES LIMITED,https://origin-global.com,Manufacturing,East of England,£20M - £30M
678,OSPREY EUROPE LIMITED,https://www.ospreyeurope.com,Retail,South West England,£20M - £30M
679,OUTPLAY ENTERTAINMENT LIMITED,https://outplay.com/,Leisure,Scotland,£10M - £20M
680,OUTSOURCE UK LIMITED,http://www.outsource-uk.co.uk,Employment services,South West England,£50M - £75M
681,OVENDEN PAPERS LIMITED,http://ovendenpapers.co.uk,Manufacturing,East of England,£30M - £40M
682,OXFORD BIOMEDICA PLC,http://www.oxfordbiomedica.co.uk,Healthcare,South East England,£20M - £30M
683,OXFORD ECONOMICS LIMITED,http://www.oxfordeconomics.com,Financial services,South East England,£20M - £30M
684,OXFORD PHARMAGENESIS HOLDINGS LIMITED,https://www.pharmagenesis.com,Healthcare,South East England,£10M - £20M
685,OXFORD POLICY MANAGEMENT LIMITED,http://www.opml.co.uk,Professional services,South East England,£50M - £75M
686,P AND A FENCING AND SHEDS LIMITED,http://www.p-a-group.com,Manufacturing,Wales,£10M - £20M
687,P D M PRODUCE (U.K.) LIMITED,http://www.pdmproduce.co.uk/,Food & Beverage,West Midlands,£40M - £50M
688,P J DAVIDSON HOLDINGS LTD.,http://www.pjd.uk.net,Engineering & Construction,South West England,£30M - £40M
689,P. H. PROPERTIES LTD,https://staircraft-ltd.co.uk,Engineering & Construction,West Midlands,£20M - £30M
690,P2P GLOBAL INVESTMENTS PLC,http://www.p2pgi.com,Financial services,London,£50M - £75M
691,PACIFIC CARE LIMITED,http://www.pacificcare.co.uk,Healthcare,Scotland,£6M - £10M
692,PACIFIC PRODUCE LIMITED,http://www.pacificproduce.co.uk ,Food & Beverage,South East England,£40M - £50M
693,PALLETLINE PLC,https://www.palletline.co.uk,Transportation Services,West Midlands,£30M - £40M
694,PALMAN LIMITED,http://www.pallet-track.co.uk/,Transportation Services,West Midlands,£75M - £100M
695,PANIC TRANSPORT (CONTRACTS) LIMITED,https://www.panictransport.co.uk,Transportation services,West Midlands,£10M - £20M
696,PARKERAY HOLDINGS LIMITED,http://www.parkeray.co.uk,Engineering & Construction,London,£75M - £100M
697,PASSIONATE ABOUT PEOPLE LIMITED,https://passionateaboutpeople.co.uk,Employment services,South West England,£50M - £75M
698,PAT MUNRO (ALNESS) LIMITED,http://www.patmunro.co.uk,Building & Landscape services,Scotland,£20M - £30M
699,PAYMENTSENSE LIMITED,https://www.paymentsense.co.uk,Information Technology,London,£40M - £50M
700,PCF GROUP PLC,https://pcf.bank,Financial services,London,£75M - £100M
701,PCS BUSINESS SYSTEMS GROUP LIMITED,https://www.pcs-systems.com ,Information Technology,East Midlands,£20M - £30M
702,PDQ GROUP LIMITED,http://www.pdq-airspares.co.uk,Automotive,South East England,£10M - £20M
703,PEARTREE CLEANING SERVICES HOLDINGS LIMITED,http://www.peartreecleaning.co.uk,Professional services,East of England,£10M - £20M
704,PENNY HYDRAULICS LIMITED,https://www.pennyhydraulics.com/ ,Manufacturing,East Midlands,£6M - £10M
705,PERMANENT FUTURES LIMITED,https://www.futures.co.uk,Professional services,Yorkshire and the Humber,£10M - £20M
706,PETER BROUGHTON LIMITED,http://www.peterbroughtonltd.co.uk,Food & Beverage,South East England,£10M - £20M
707,PIPERS CRISPS LIMITED,http://www.piperscrisps.com,Food & Beverage,Yorkshire and the Humber,£6M - £10M
708,PLANT IMPACT PLC,http://www.plantimpact.com,Research,East of England,£6M - £10M
709,PLASTICS CAPITAL PLC,http://www.plasticscapital.com,Plastic Manufacturing & Engineering ,London,£50M - £75M
710,PLEASE HOLD (UK) LIMITED,http://homepage.phmg.com,Leisure,North West England,£20M - £30M
711,PLP ARCHITECTURE INTERNATIONAL LTD,https://www.plparchitecture.com,Architecture & Engineering,London,£10M - £20M
712,PMC SOIL SOLUTIONS LTD,http://www.pmcsoilsolutions.com,Building & Landscape services,East of England,£6M - £10M
713,POLAR TECHNOLOGY MANAGEMENT GROUP LIMITED,http://www.polartechnology.co.uk/,Information Technology,South East England,£10M - £20M
714,POPPIES EUROPE LTD,http://www.poppieseurope.com,Manufacturing,North West England,£10M - £20M
715,PORT EXPRESS LIMITED,http://www.port-express.com/ ,Transportation services,East of England,£10M - £20M
716,PORTSMOUTH AVIATION HOLDINGS LIMITED,http://www.portav.com,Security,South East England,£50M - £75M
717,POSTAL CHOICES HOLDINGS LIMITED,https://onepost.co.uk/,Postal Services,South West England,£75M - £100M
718,POWAKADDY INTERNATIONAL LIMITED,http://www.powakaddy.co.uk/ ,Retail,South East England,£10M - £20M
719,PPS EQUIPMENT HOLDINGS LIMITED,http://www.ppsequipment.co.uk,Transportation services,West Midlands,£10M - £20M
720,PRECON PRODUCTS LTD,http://www.preconproducts.co.uk/,Engineering & Construction,East of England,£20M - £30M
721,PREMIER FREIGHT SERVICES LIMITED,http://www.premierfreight.uk.com,Transportation services,East of England,£10M - £20M
722,PREMIER TECHNICAL SERVICES GROUP PLC,http://www.ptsg.co.uk,Building & Landscape services,Yorkshire and the Humber,£30M - £40M
723,PREQIN HOLDING LIMITED,https://www.preqin.com,Professional services,London,£20M - £30M
724,PRI ASSOCIATION,https://www.unpri.org,Financial services,London,£6M - £10M
725,PRICE BUILDING SERVICES LIMITED,http://www.pricebuilding.com,Building & Landscape services,London,£10M - £20M
726,PRICECHECK TOILETRIES LIMITED,https://pricecheck.uk.com,Wholesale,Yorkshire and the Humber,£50M - £75M
727,PRINCES GATE WATER LIMITED,http://www.princesgate.com,Food & Beverage,Wales,£10M - £20M
728,PRISM MEDICAL HEALTHCARE LIMITED,http://prismmedical.co.uk,Healthcare,Yorkshire and the Humber,£30M - £40M
729,PROACTIS HOLDINGS PLC,http://www.proactis.com,Information Technology,Yorkshire and the Humber,£10M - £20M
730,PROFESSIONAL BEAUTY SYSTEMS (HOLDINGS) LIMITED,http://www.professionalbeautysystems.co.uk/,Retail,Scotland,£20M - £30M
731,PROFESSIONAL LINGUISTIC & UPPER STUDIES LIMITED,http://www.plus-ed.com,Education,London,£20M - £30M
732,PROPERTY CONSORTIUM (HOLDINGS) LIMITED,http://www.claimsconsortiumgroup.co.uk,Professional services,South West England,£40M - £50M
733,PROSPECT HOUSING LIMITED,http://www.prospecthousing.com,Healthcare,West Midlands,£6M - £10M
734,PROTEC INTERNATIONAL LIMITED,https://www.protection.co.uk,Building Materials,North West England,£10M - £20M
735,PUBLIC SEWER SERVICES LIMITED,http://www.publicsewerservices.co.uk/,Building & Landscape services,East of England,£6M - £10M
736,PUKKA HERBS LIMITED,https://www.pukkaherbs.com,Food & Beverage,London,£20M - £30M
737,PURPLEBRICKS GROUP PLC,https://www.purplebricks.co.uk,Real Estate,West Midlands,£10M - £20M
738,PYE HOMES LIMITED,http://www.pyehomes.co.uk,Engineering & Construction,South East England,£20M - £30M
739,QBS SOFTWARE LIMITED,http://www.qbssoftware.com,Retail,London,£20M - £30M
740,DURATION WINDOWS,https://www.duration.co.uk,Manufacturing,East of England,£10M - £20M
741,QUALITY SAVE LIMITED,http://www.qualitysave.co.uk,Retail,North West England,£50M - £75M
742,QUANTUM PHARMA PLC,http://www.quantumpharmagroup.com/,Pharmaceuticals & Biotechnology,North East England,£75M - £100M
743,QUARTIX HOLDINGS PLC,https://www.quartix.net/,Automotive,East of England,£20M - £30M
744,QUICKMACH HOLDINGS LIMITED,http://www.quickmach.co.uk,Metal Manufacturing & Engineering,South West England,£6M - £10M
745,QUIXANT PLC,http://www.quixant.com,Metal Manufacturing & Engineering,East of England,£50M - £75M
746,R&M UTILITY & CIVIL ENGINEERING SERVICES SOUTH WEST LIMITED,http://www.rmutility.com/,Building & Landscape services,South West England,£6M - £10M
747,R. S. V. P. CALL CENTRES LTD,https://www.rsvp.co.uk,Employment services,London,£10M - £20M
748,R.B.A.MOODY BROS(CONTRACTORS)LIMITED,http://www.moody-construction.co.uk/,Engineering & Construction,Yorkshire and the Humber,£6M - £10M
749,R.J. MCLEOD (CONTRACTORS) LIMITED,https://www.rjmcleod.co.uk/,Building & Landscape services,Scotland,£150M - £200M
750,RADNOR HILLS MINERAL WATER COMPANY LTD,http://www.radnorhills.co.uk,Food & Beverage,Wales,£30M - £40M
751,RAPHA RACING LTD,https://www.rapha.cc,Retail,London,£50M - £75M
752,RAWLINSON & HUNTER SERVICES LIMITED,http://www.rawlinson-hunter.com/,Professional services,London,£10M - £20M
753,RB SPORT & LEISURE HOLDINGS PLC,https://www.ageasbowl.com/,Leisure,South East England,£10M - £20M
754,RDM (UK) LIMITED,http://rdmgroup.co.uk/,Automotive,South East England,£10M - £20M
755,REACH ACTIVE GROUP LIMITED,http://reachactive.com,Building & Landscape services,London,£20M - £30M
756,READY EGG PRODUCTS LIMITED,http://www.readyeggproducts.com,Farming & Fishery,Northern Ireland,£40M - £50M
757,REALLY COMFY BEDS LIMITED,http://loaf.com/,Retail,London,£30M - £40M
758,RECROOT LIMITED,http://www.recroot.net/ ,Employment services,East of England,£20M - £30M
759,RED SNAPPER RECRUITMENT LIMITED,https://www.redsnappergroup.co.uk/,Professional services,London,£20M - £30M
760,REDSTONECONNECT PLC,https://www.redstoneconnectplc.com,Information Technology,London,£40M - £50M
