,Company name,Website,Sector,Region,Revenue Band
116,BKJ CONSTRUCTION LIMITED,http://www.davidashleyconstruction.co.uk,Building & Landscape services,East Midlands,£6M - £10M
117,BLACKWOOD PLANT HIRE LTD,https://blackwoodplanthire.co.uk/,Engineering & Construction,Scotland,£10M - £20M
118,BLUE APPLE CATERING HOLDINGS LIMITED,http://blue-apple.co.uk,Food & Beverage,South East England,£10M - £20M
119,BLUE MACHINERY (SCOTLAND) LIMITED,https://www.blue-group.com,Engineering & Construction,Scotland,£10M - £20M
120,BLUECREST HEALTH SCREENING LIMITED,http://bluecresthealthscreening.co.uk,Healthcare,London,£6M - £10M
121,BLUETREE DESIGN AND PRINT LIMITED,http://www.bluetreegroup.co.uk,Printing,Yorkshire and the Humber,£20M - £30M
122,BOLT AND HEEKS (HOLDINGS) LIMITED,http://www.boltandheeks.co.uk,Engineering & Construction,East of England,£30M - £40M
123,BOREAL LIMITED,https://www.eakinltd.com,Automotive,Northern Ireland,£40M - £50M
124,BOSS CABINS LIMITED,https://www.bosscabins.co.uk,Metal Manufacturing & Engineering,East Midlands,£20M - £30M
125,BPC INTERIORS LIMITED,https://www.bpcinteriors.com,Architecture & Engineering,London,£20M - £30M
126,BRAVE BISON GROUP PLC,http://bravebison.io,Media,London,£10M - £20M
127,BREAD HOLDINGS LIMITED,http://www.breadltd.co.uk,Food & Beverage,London,£50M - £75M
128,BREWDOG PLC,https://www.brewdog.com,Food & Beverage,Scotland,£50M - £75M
129,BREWHOUSE & KITCHEN LIMITED,http://www.brewhouseandkitchen.com,Food & Beverage,London,£6M - £10M
130,BRIAN JAMES TRAILERS LIMITED,http://www.brianjames.co.uk/ ,Automotive,West Midlands,£10M - £20M
131,BRICKABILITY UK HOLDINGS LIMITED,http://www.brickability.co.uk,Building Materials,Wales,£50M - £75M
132,BRIGADE HOLDINGS LIMITED,https://brigade-electronics.com/,Automotive,South East England,£30M - £40M
133,BRISTOL & AVON TRANSPORT & RECYCLING LTD,http://www.bristolandavon.co.uk,Building & Landscape services,South West England,£20M - £30M
134,BROOKGATE LIMITED,http://www.brookgate.eu,Engineering & Construction,East of England,£50M - £75M
135,BRYAN'S SALADS LTD.,http://www.bryanssalads.co.uk,Food & Beverage,North West England,£20M - £30M
136,BULLETPROOF DESIGN LIMITED,https://www.wearebulletproof.com/,Engineering & Construction,London,£10M - £20M
137,BUSINESS GROWTH FUND PLC,https://www.bgf.co.uk/,Financial services,London,£50M - £75M
138,BYWATERS (LEYTON) LIMITED,http://www.bywaters.co.uk,Waste Management,London,£40M - £50M
139,C. HOARE & CO.,https://www.hoaresbank.co.uk,Financial services,London,£150M - £200M
140,C. WALTON LIMITED,http://www.bruntingthorpe.com,Automotive,East Midlands,£20M - £30M
141,C.A.CLEMSON & SONS LIMITED,http://www.stahlwille.co.uk,Metal Manufacturing & Engineering,West Midlands,£40M - £50M
142,CALASTONE LIMITED,http://www.calastone.com ,Financial services,London,£20M - £30M
143,CAMELOT CARE LIMITED,http://www.freshfieldsnursing.co.uk/,Healthcare,South West England,£6M - £10M
144,CAPESTONE ORGANIC POULTRY LIMITED,http://capestone.co.uk/,Farming & Fishery,Wales,£10M - £20M
145,CAPITAL & REGIONAL PLC,https://capreg.com,Engineering & Construction,London,£75M - £100M
146,CAR BENEFIT HOLDINGS LIMITED,https://www.carbenefitsolutions.co.uk,Transportation services,North West England,£20M - £30M
147,CARAVELA LIMITED,http://caravela.coffee/,Food & Beverage,London,£10M - £20M
148,CARE UNBOUND LIMITED,http://www.hereweare.org.uk,Healthcare,South East England,£50M - £75M
149,CARESOFT GLOBAL LIMITED,https://recruitmentuk.caresoftglobal.com/,Employment services,East of England,£20M - £30M
150,CARFULAN GROUP LIMITED,http://www.carfulan.com,Information Technology,East Midlands,£10M - £20M
151,CARMEL CLOTHING LIMITED,http://www.carmelclothinguk.com/,Retail,East Midlands,£50M - £75M
152,CARPENTER & PATERSON (HOLDINGS) LIMITED,http://www.cp-ltd.co.uk,Building Materials,Wales,£20M - £30M
153,CARRS FOODS HOLDINGS LIMITED,http://www.carrsfoods.co.uk,Food & Beverage,North West England,£30M - £40M
154,CASSELLIE LIMITED,https://www.cassellie.co.uk/,Engineering & Construction,Yorkshire and the Humber,£20M - £30M
155,CASTACRETE LIMITED,http://www.castacrete.co.uk/ ,Building Materials,South East England,£20M - £30M
156,CASTLETON TECHNOLOGY PLC,http://www.castletonplc.com,Information Technology,London,£20M - £30M
157,CAVAL LIMITED,http://www.planetcaval.com ,Employment services,Yorkshire and the Humber,£20M - £30M
158,CAVE DIRECT LTD.,http://www.cavedirect.com,Food & Beverage,South East England,£10M - £20M
159,CAVENDISH EDUCATION LIMITED,http://cavendisheducation.com/,Education,London,£10M - £20M
160,CCAM ASIA LIMITED,https://www.couplandcardiff.com,Financial services,London,£6M - £10M
161,CCP BUILDING PRODUCTS LIMITED,http://www.cheshireconcrete.co.uk/,Engineering & Construction,Wales,£10M - £20M
162,CCS MCLAYS LIMITED,http://ccsmclays.co.uk/ ,Manufacturing,Wales,£20M - £30M
163,CDE GLOBAL LIMITED,https://www.cdeglobal.com/ ,Building Materials,Northern Ireland,£50M - £75M
164,CENTRAL SUPPLIES (BRIERLEY HILL) LTD,https://www.centralsupplies.co.uk,Wholesale,West Midlands,£30M - £40M
165,CENTRALNIC GROUP PLC,https://www.centralnic.com,Legal & Accounting,London,£20M - £30M
166,CEUTA HOLDINGS LIMITED,https://www.ceutagroup.com,Legal & Accounting,South West England,£75M - £100M
167,CHAMBERS WASTE MANAGEMENT PLC,http://www.chambers-group.co.uk/ ,Waste Management,South East England,£10M - £20M
168,CHAMPION GROUNDWORKS LIMITED,http://www.fcgroundworks.com,Building & Landscape services,South West England,£40M - £50M
169,CHANDLERS BUILDING SUPPLIES HOLDINGS LIMITED,https://chandlersbs.co.uk/ ,Building & Landscape services,South East England,£40M - £50M
170,CHARGEPOINT TECHNOLOGY HOLDINGS LIMITED,http://www.thechargepoint.com,Pharmaceuticals & Biotechnology,North West England,£10M - £20M
171,CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,https://www.charlesrussellspeechlys.com,Legal & Accounting,London,£40M - £50M
172,CHARTWAY GROUP LIMITED,http://www.chartwaygroup.co.uk,Building & Landscape services,South East England,£50M - £75M
173,CHEEVERS & HOWARD CONSTRUCTION LIMITED,http://www.cheevershoward.co.uk/,Engineering & Construction,London,£10M - £20M
174,CHEMILINES GROUP HOLDINGS LIMITED,www.chemilines.com/ ,Manufacturing,London,£50M - £75M
175,CHEQUE AND CREDIT CLEARING COMPANY LIMITED,https://www.chequeandcredit.co.uk,Financial services,London,£30M - £40M
176,CHESHIRE MOULDINGS & WOODTURNINGS LIMITED,http://www.cheshiremouldings.co.uk,Manufacturing,North West England,£20M - £30M
177,CHESHIRE WEST & CHESTER LEISURE CIC,http://www.brioleisure.org/ ,Leisure,North West England,£10M - £20M
